state_name,counties,population_2024,pop_weighted_mobility,median_mobility,p25_mobility,p75_mobility,min_mobility,max_mobility,within_state_sd
Massachusetts,12,7100440.0,22.02572016212928,9.854174615994715,3.9456502225603565,28.46917171119706,-4.040348521131591,40.761671078245314,15.563375810448568
New Hampshire,8,1333926.0,18.593465521121043,13.050016005197826,10.970926729662807,19.59022424599169,1.6854323056232516,38.02755991276169,11.055505348247996
District of Columbia,1,702250.0,18.18653209906509,18.18653209906509,18.18653209906509,18.18653209906509,18.18653209906509,18.18653209906509,
South Dakota,3,399862.0,15.4024893687683,14.959522911068419,12.1175253844768,20.5171056816676,9.27552785788518,26.074688452266784,8.54465233785318
Arkansas,13,1943850.0,14.575255125913426,0.5643281998019347,-3.240931072639789,3.7423293141085026,-9.15553326313146,88.35579825277081,25.378086716394925
Washington,21,7519688.0,12.937686928060758,-10.761775828083358,-15.03504762547577,-3.8944447527784263,-24.247575285146155,54.036250005359975,16.08712206693158
Vermont,5,399656.0,11.638843896227817,8.152861655754037,4.368235829160071,16.466762366116313,1.7870577119009994,16.936674865746454,6.918638244206458
Tennessee,33,5769150.0,11.595440488257108,5.901923679489698,-2.437075092217583,12.435355365230123,-18.488276344684877,90.89543449871817,18.32647464692824
Montana,6,695292.0,9.361737655630886,7.0215294707090266,-9.906217189264158,12.39734488461141,-16.546934315913447,44.338199828704404,22.200669464384447
Louisiana,21,3611182.0,9.17080949377789,7.513113507207592,4.9864227283465254,15.35410144057294,-2.8345297781681893,28.501080760929355,8.107653072214566
Colorado,15,5294330.0,8.17231772606663,4.337381518994633,-8.719809139766944,24.674535855081295,-13.420821344547164,80.77462330138316,26.455937850737712
Maine,9,1169624.0,7.4921152064610395,0.6332948108144478,-4.295854678588981,11.02896650231061,-8.288699111451706,21.944449198943005,9.86650978269102
Minnesota,18,4383210.0,6.214672599542681,3.354742515554463,-1.133411127070353,13.081861193407324,-14.717791135450724,33.76669119080657,12.15892715119666
Utah,9,3186070.0,5.668574874922018,2.3161194429972056,-13.923873499824396,8.136133846787232,-17.103902440237448,15.081959766200427,12.206792200012014
Texas,74,28843068.0,5.3876194788854885,1.9749682426852146,-3.1193393448512836,7.447677478005392,-33.86109353059163,83.73286782612541,16.398472994680546
North Dakota,4,446250.0,3.9903201934145582,1.2661087971350682,-1.3546241785985451,5.816343449142508,-1.6429164819187605,11.893140781284202,6.3048103123476
North Carolina,52,9803598.0,3.9319423298871694,3.3503078928452013,-5.9228037627745245,11.299647358984394,-26.510162700789365,42.99348197707816,13.652171666557601
California,43,39098804.0,3.521138395982885,-8.49963182713465,-19.0736567791174,10.619002943159288,-37.588486196944416,105.07633622235986,35.0235177970031
South Carolina,24,4925763.0,3.238657446601006,2.050241092051891,-4.849081010851723,8.835787505546126,-12.595536564679847,27.192701194494383,10.490079307762684
Alabama,28,4326436.0,2.469558938130511,0.7292480174503666,-6.648487596511991,7.621611535978452,-18.398864862044675,25.946229825387164,10.030111387188018
New Jersey,21,9500851.0,2.202742586270559,-1.0859375220589982,-10.089101063913859,9.231601901888254,-23.62758378629296,38.207732880786835,18.524788322926046
New York,45,19240847.0,1.732721791720978,-5.912388621004112,-13.781613814275204,-0.29980130649535397,-40.822731586180055,96.11567504132265,19.948902061981123
Nebraska,5,1252868.0,1.670268248727668,-6.490193507102489,-7.6217168538395725,8.743915642223172,-12.48645866204376,29.07727603242307,16.97703244127622
Mississippi,15,1636052.0,1.5144506503815822,-0.6500170224495747,-5.187114550590444,8.305507883997112,-19.916639364206546,60.8759247598461,18.62637503716821
Kentucky,20,2702393.0,0.7535565865117173,3.116364942856208,-1.7303530358933408,8.627790812771568,-33.42306827774365,26.940143602716546,13.531069887799203
Florida,41,22694671.0,0.54620147915316,-3.9550472705704323,-10.503891543815797,5.523306792841055,-24.434969192148756,81.34144231764857,27.044359793629614
Georgia,43,8968105.0,-0.14422194458633086,-3.6945513472835216,-14.645819787409359,3.557746366717282,-41.582740585865196,43.489237355455714,16.837696839175585
Oregon,18,3955024.0,-0.6725806135976097,-2.573561357756688,-6.521592085498188,2.8133210928289927,-23.058331556315537,16.202758641621728,9.329517345772826
Pennsylvania,43,12311314.0,-0.6932230325854309,-4.864075280754264,-9.408227081757225,2.7662867683561387,-23.88918944931737,34.84427858697683,11.044729217064413
West Virginia,11,961491.0,-0.905727835044527,-1.092040865255811,-6.207366895804057,7.698352400144714,-9.805981352350159,15.253721562705238,8.21380331857402
Oklahoma,16,2887693.0,-1.002198471752073,-0.2710082138047909,-9.764063665189923,4.652355482631339,-20.6940668776176,34.964126832292536,13.39509677079023
New Mexico,11,1757205.0,-2.1021025782606633,-3.6301054461398508,-7.175011231276951,11.673772103013576,-32.04580919318532,26.25735154680001,16.465826692111083
Rhode Island,5,1112308.0,-2.1495936143426215,14.7413465570325,2.6808266783636583,24.366728632011515,-13.442381234753427,29.00453245765867,17.192756123250703
Virginia,37,7355531.0,-3.1544059665501694,-2.1887242850650352,-13.968044012976662,5.450254254164804,-36.517312957134735,49.637645732076365,15.468372654541282
Wisconsin,29,4885236.0,-3.2003118208156076,-1.1072520400673938,-6.274556595894893,4.690344850177766,-22.776595066379898,33.36388841115847,10.584235182063795
Missouri,22,4582281.0,-3.7862914325134565,-4.743408678682151,-8.637539785154019,-2.527948426438382,-47.412161455996895,14.664605374509293,11.633211595283488
Indiana,28,5210243.0,-6.201393615927502,-9.792764885232799,-15.363547285503476,-3.752085357425454,-29.242605429242502,38.1448725351983,14.263318466840389
Idaho,9,1472570.0,-6.469590791399922,-9.624126974382946,-12.825169059984532,-3.309316076591756,-19.76006092119841,6.096880120637664,8.583962027091838
Iowa,11,1790188.0,-6.845896596441196,-8.80875038235041,-9.53759904970753,0.38405037726593605,-18.540585454440205,15.102906880964028,9.256975246774926
Arizona,12,7515740.0,-7.834918479389921,-10.211323558312309,-16.408375236356896,5.714562639298226,-25.836339819787895,8.434547918132168,12.587796534372634
Kansas,10,1978967.0,-8.493525710494497,-12.592936110736119,-17.891895451004213,-5.176051293665125,-28.347232407735234,3.0678260241513584,10.912385985628934
Ohio,49,10606193.0,-8.57741540245509,-8.71428539082298,-13.514654824490123,-3.699546912622324,-28.809852944601474,36.86975868858586,12.648801579958867
Illinois,28,11241499.0,-8.816168626232626,-15.714324565308587,-19.548529616417863,-8.406737426189213,-28.782682763809987,9.082204618501578,9.35105384186715
Wyoming,2,182193.0,-9.301929204949067,-8.53386649820608,-11.80752131338469,-5.260211683027471,-15.0811761285633,-1.9865568678488614,9.259294076307155
Maryland,18,6084399.0,-13.080744442740075,-2.5734421729507275,-9.797696196438519,4.423962358648282,-40.08569130636367,16.15805545736704,14.034175511026522
Delaware,3,1051917.0,-15.016852447213044,-18.192514280762197,-21.150084878927366,-5.617208711311257,-24.107655477092536,6.958096858139683,16.495570638744034
Michigan,36,9065834.0,-15.291345252505769,-11.164196262509272,-19.32626039217652,-6.251226885643952,-30.581582561778916,4.823035503419888,9.430254278710853
Hawaii,4,1446146.0,-26.908394165578503,-11.459141054677858,-21.93184548292334,-4.724129922857742,-34.10211176229828,-3.7669435327589014,14.122339556613458
Nevada,6,3138370.0,-27.45404307730268,-30.914686146723206,-36.30931789958461,-29.438484725336824,-72.33542260521072,-13.198690441030948,19.72371359012744
Alaska,3,502164.0,-40.77383579875154,-41.33313140939438,-41.77912500433426,-38.493890057475866,-42.22511859927414,-35.65464870555735,3.563983763265593
